hunk_id,file,classification,candidate_key,candidate_name,summary
src/BC/Operator/Elastic/Expression.H:67-73,src/BC/Operator/Elastic/Expression.H,CANDIDATE,HOST_LOOP_FALLBACK,Use CPU LoopConcurrentOnCpu fallback,Use CPU LoopConcurrentOnCpu fallback
src/BC/Operator/Elastic/Expression.H:146-151,src/BC/Operator/Elastic/Expression.H,CANDIDATE,HOST_LOOP_GUARD,Guard unsupported host-only BC path,Guard unsupported host-only BC path
src/BC/Operator/Elastic/Expression.H:155-161,src/BC/Operator/Elastic/Expression.H,CANDIDATE,HOST_LOOP_FALLBACK,Use CPU LoopConcurrentOnCpu fallback,Use CPU LoopConcurrentOnCpu fallback
src/BC/Operator/Elastic/Expression.H:230-384,src/BC/Operator/Elastic/Expression.H,CANDIDATE,BC_STATIC_DISPATCH,Use device-callable BC evaluation,Use device-callable BC evaluation
src/BC/Operator/Elastic/TensionTest.H:39-46,src/BC/Operator/Elastic/TensionTest.H,CANDIDATE,BC_STATIC_DISPATCH,Expose inherited static BC operators,Expose inherited static BC operators
src/IC/BMP.H:64-69,src/IC/BMP.H,CANDIDATE,DEVICE_CAPTURE_HOIST,Capture image geometry/state before kernel,Capture image geometry/state before kernel
src/IC/BMP.H:73-91,src/IC/BMP.H,CANDIDATE,DEVICE_CAPTURE_HOIST,Capture image geometry/state before kernel,Capture image geometry/state before kernel
src/IC/Constant.H:7-12,src/IC/Constant.H,ONEOFF,,Unique compile/interface/behavior change,Unique compile/interface/behavior change
src/IC/Constant.H:42-50,src/IC/Constant.H,CANDIDATE,IC_DEVICE_CAPTURE,Capture scalar IC values before kernel,Capture scalar IC values before kernel
src/IC/Constant.H:56-64,src/IC/Constant.H,CANDIDATE,IC_DEVICE_CAPTURE,Capture scalar IC values before kernel,Capture scalar IC values before kernel
src/IC/Expression.H:34-39,src/IC/Expression.H,ONEOFF,,Unique compile/interface/behavior change,Unique compile/interface/behavior change
src/IC/Expression.H:44-55,src/IC/Expression.H,ONEOFF,,Unique compile/interface/behavior change,Unique compile/interface/behavior change
src/IC/Expression.H:70-100,src/IC/Expression.H,CANDIDATE,IC_DEVICE_CAPTURE,Capture expression geometry/state before kernel,Capture expression geometry/state before kernel
src/IC/Expression.H:105-110,src/IC/Expression.H,CANDIDATE,HOST_LOOP_GUARD,Guard unsupported host-only IC path,Guard unsupported host-only IC path
src/IC/Expression.H:118-124,src/IC/Expression.H,CANDIDATE,HOST_LOOP_FALLBACK,Use CPU LoopConcurrentOnCpu fallback,Use CPU LoopConcurrentOnCpu fallback
src/IC/Expression.H:134-140,src/IC/Expression.H,CANDIDATE,HOST_LOOP_GUARD,Guard unsupported host-only IC path,Guard unsupported host-only IC path
src/IC/Laminate.H:5-10,src/IC/Laminate.H,CANDIDATE,HOST_LOOP_FALLBACK,Use CPU LoopConcurrentOnCpu fallback,Use CPU LoopConcurrentOnCpu fallback
src/IC/Laminate.H:26-31,src/IC/Laminate.H,ONEOFF,,Unique compile/interface/behavior change,Unique compile/interface/behavior change
src/IC/Laminate.H:33-39,src/IC/Laminate.H,CANDIDATE,HOST_LOOP_GUARD,Guard unsupported host-only IC path,Guard unsupported host-only IC path
src/IC/PNG.H:4-9,src/IC/PNG.H,CANDIDATE,HOST_LOOP_FALLBACK,Use CPU LoopConcurrentOnCpu fallback,Use CPU LoopConcurrentOnCpu fallback
src/IC/PNG.H:48-53,src/IC/PNG.H,ONEOFF,,Unique compile/interface/behavior change,Unique compile/interface/behavior change
src/IC/PNG.H:69-75,src/IC/PNG.H,CANDIDATE,HOST_LOOP_GUARD,Guard unsupported host-only IC path,Guard unsupported host-only IC path
src/IC/PSRead.H:6-11,src/IC/PSRead.H,ONEOFF,,Unique compile/interface/behavior change,Unique compile/interface/behavior change
src/IC/PSRead.H:42-47,src/IC/PSRead.H,CANDIDATE,HOST_LOOP_GUARD,Guard unsupported host-only IC path,Guard unsupported host-only IC path
src/IC/PSRead.H:54-60,src/IC/PSRead.H,CANDIDATE,HOST_LOOP_FALLBACK,Use CPU LoopConcurrentOnCpu fallback,Use CPU LoopConcurrentOnCpu fallback
src/IC/PSRead.H:128-134,src/IC/PSRead.H,CANDIDATE,HOST_LOOP_GUARD,Guard unsupported host-only IC path,Guard unsupported host-only IC path
src/IC/PointList.H:0-0,src/IC/PointList.H,ONEOFF,,New PointList IC implementation,New PointList IC implementation
src/IC/StarAftGrain.H:0-0,src/IC/StarAftGrain.H,ONEOFF,,New StarAftGrain IC implementation,New StarAftGrain IC implementation
src/IC/Trig.H:9-14,src/IC/Trig.H,ONEOFF,,Unique compile/interface/behavior change,Unique compile/interface/behavior change
src/IC/Trig.H:55-60,src/IC/Trig.H,CANDIDATE,HOST_LOOP_GUARD,Guard unsupported host-only IC path,Guard unsupported host-only IC path
src/IC/Trig.H:69-75,src/IC/Trig.H,CANDIDATE,HOST_LOOP_FALLBACK,Use CPU LoopConcurrentOnCpu fallback,Use CPU LoopConcurrentOnCpu fallback
src/IC/Trig.H:109-114,src/IC/Trig.H,CANDIDATE,HOST_LOOP_GUARD,Guard unsupported host-only IC path,Guard unsupported host-only IC path
src/IC/Trig.H:123-129,src/IC/Trig.H,CANDIDATE,HOST_LOOP_FALLBACK,Use CPU LoopConcurrentOnCpu fallback,Use CPU LoopConcurrentOnCpu fallback
src/Operator/Elastic.H:55-60,src/Operator/Elastic.H,CANDIDATE,ELASTIC_API_CONTROLS,Expose conservative face-flux control,Expose conservative face-flux control
src/Operator/Elastic.H:88-95,src/Operator/Elastic.H,NOISE,,Comment-only or formatting cleanup,Comment-only or formatting cleanup
src/Operator/Elastic.H:108-115,src/Operator/Elastic.H,CANDIDATE,ELASTIC_API_CONTROLS,Expose coarse/fine policy hooks,Expose coarse/fine policy hooks
src/Operator/Elastic.H:122-127,src/Operator/Elastic.H,CANDIDATE,ELASTIC_API_CONTROLS,Expose coarse/fine policy hooks,Expose coarse/fine policy hooks
src/Operator/Elastic.H:129-167,src/Operator/Elastic.H,CANDIDATE,ELASTIC_API_CONTROLS,Expose elastic model storage/access,Expose elastic model storage/access
src/Operator/Elastic.cpp:1-9,src/Operator/Elastic.cpp,CANDIDATE,ELASTIC_KERNEL_DISPATCH,Select GPU/CPU elastic kernel and BC dispatch,Select GPU/CPU elastic kernel and BC dispatch
src/Operator/Elastic.cpp:45-51,src/Operator/Elastic.cpp,CANDIDATE,ELASTIC_COMPONENT_LAYOUT,Generalize elastic coefficient component layout,Generalize elastic coefficient component layout
src/Operator/Elastic.cpp:63-83,src/Operator/Elastic.cpp,CANDIDATE,ELASTIC_COMPONENT_LAYOUT,Generalize elastic coefficient component layout,Generalize elastic coefficient component layout
src/Operator/Elastic.cpp:95-103,src/Operator/Elastic.cpp,CANDIDATE,ELASTIC_COMPONENT_LAYOUT,Generalize elastic coefficient component layout,Generalize elastic coefficient component layout
src/Operator/Elastic.cpp:107-113,src/Operator/Elastic.cpp,CANDIDATE,ELASTIC_COMPONENT_LAYOUT,Generalize elastic coefficient component layout,Generalize elastic coefficient component layout
src/Operator/Elastic.cpp:148-154,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_SAFE_VECTOR,Copy cell size into device-safe vector,Copy cell size into device-safe vector
src/Operator/Elastic.cpp:161-168,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_CAPTURE_HOIST,Capture elastic state before kernel,Capture elastic state before kernel
src/Operator/Elastic.cpp:173-264#1,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_CAPTURE_HOIST,Capture elastic state and safe stencil inputs,Capture elastic state and safe stencil inputs
src/Operator/Elastic.cpp:173-264#2,src/Operator/Elastic.cpp,CANDIDATE,ELASTIC_KERNEL_DISPATCH,Run elastic kernel/BC behavior through portable dispatch,Run elastic kernel/BC behavior through portable dispatch
src/Operator/Elastic.cpp:282-294,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_ERROR_FLAG,Set/check invalid device values,Set/check invalid device values
src/Operator/Elastic.cpp:299-315,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_SAFE_VECTOR,Use diagonal ghost extent and safe geometry,Use diagonal ghost extent and safe geometry
src/Operator/Elastic.cpp:317-347,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_CAPTURE_HOIST,Capture elastic state before kernel,Capture elastic state before kernel
src/Operator/Elastic.cpp:352-377,src/Operator/Elastic.cpp,CANDIDATE,ELASTIC_CONSERVATIVE_FLUX,Dispatch BC and conservative face flux,Dispatch BC and conservative face flux
src/Operator/Elastic.cpp:417-425,src/Operator/Elastic.cpp,CANDIDATE,GPU_DEVICE_LAUNCH,Run MultiFab initialization on device,Run MultiFab initialization on device
src/Operator/Elastic.cpp:432-438,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_SAFE_VECTOR,Pass device-safe geometry/stencil pointer,Pass device-safe geometry/stencil pointer
src/Operator/Elastic.cpp:449-460,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_SAFE_VECTOR,Pass device-safe geometry/stencil pointer,Pass device-safe geometry/stencil pointer
src/Operator/Elastic.cpp:494-500,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_SAFE_VECTOR,Pass device-safe geometry/stencil pointer,Pass device-safe geometry/stencil pointer
src/Operator/Elastic.cpp:505-523,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_CAPTURE_HOIST,Capture elastic state before kernel,Capture elastic state before kernel
src/Operator/Elastic.cpp:561-567,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_SAFE_VECTOR,Pass device-safe geometry/stencil pointer,Pass device-safe geometry/stencil pointer
src/Operator/Elastic.cpp:576-596,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_SAFE_VECTOR,Pass device-safe geometry/stencil pointer,Pass device-safe geometry/stencil pointer
src/Operator/Elastic.cpp:623-628,src/Operator/Elastic.cpp,CANDIDATE,ELASTIC_COMPONENT_INTERPOLATION,Generalize restriction/interpolation across components,Generalize restriction/interpolation across components
src/Operator/Elastic.cpp:633-642,src/Operator/Elastic.cpp,CANDIDATE,ELASTIC_COMPONENT_INTERPOLATION,Generalize restriction/interpolation across components,Generalize restriction/interpolation across components
src/Operator/Elastic.cpp:663-684,src/Operator/Elastic.cpp,CANDIDATE,ELASTIC_COMPONENT_INTERPOLATION,Generalize restriction/interpolation across components,Generalize restriction/interpolation across components
src/Operator/Elastic.cpp:722-728,src/Operator/Elastic.cpp,CANDIDATE,DEVICE_ERROR_FLAG,Guard host-only NaN check after device work,Guard host-only NaN check after device work
src/Operator/Elastic.cpp:730-741,src/Operator/Elastic.cpp,NOISE,,Comment-only cleanup,Comment-only cleanup
src/Operator/Elastic.cpp:758-763,src/Operator/Elastic.cpp,CANDIDATE,ELASTIC_COMPONENT_INTERPOLATION,Generalize restriction/interpolation across components,Generalize restriction/interpolation across components
src/Operator/Elastic.cpp:765-838,src/Operator/Elastic.cpp,CANDIDATE,ELASTIC_COMPONENT_INTERPOLATION,Generalize restriction/interpolation across components,Generalize restriction/interpolation across components
src/Operator/Elastic.cpp:856-863,src/Operator/Elastic.cpp,NOISE,,Comment-only or formatting cleanup,Comment-only or formatting cleanup
src/Operator/Operator.H:18-35,src/Operator/Operator.H,NOISE,,Comment-only or formatting cleanup,Comment-only or formatting cleanup
src/Operator/Operator.H:47-52,src/Operator/Operator.H,ONEOFF,,Composite norm feature,Composite norm feature
src/Operator/Operator.H:57-101,src/Operator/Operator.H,ONEOFF,,Coefficient resync and AMR policy API,Coefficient resync and AMR policy API
src/Operator/Operator.H:126-138,src/Operator/Operator.H,NOISE,,Comment-only or formatting cleanup,Comment-only or formatting cleanup
src/Operator/Operator.H:156-163,src/Operator/Operator.H,NOISE,,Comment-only or formatting cleanup,Comment-only or formatting cleanup
src/Operator/Operator.H:168-176,src/Operator/Operator.H,NOISE,,Comment-only or formatting cleanup,Comment-only or formatting cleanup
src/Operator/Operator.H:208-216,src/Operator/Operator.H,NOISE,,Comment-only or formatting cleanup,Comment-only or formatting cleanup
src/Operator/Operator.cpp:3-16,src/Operator/Operator.cpp,ONEOFF,,MLMG diagnostic instrumentation,MLMG diagnostic instrumentation
src/Operator/Operator.cpp:31-37,src/Operator/Operator.cpp,NOISE,,Comment-only or formatting cleanup,Comment-only or formatting cleanup
src/Operator/Operator.cpp:50-65,src/Operator/Operator.cpp,CANDIDATE,GPU_DEVICE_LAUNCH,Run operator algebra on device,Run operator algebra on device
src/Operator/Operator.cpp:69-85,src/Operator/Operator.cpp,CANDIDATE,GPU_DEVICE_LAUNCH,Run operator algebra on device,Run operator algebra on device
src/Operator/Operator.cpp:93-99,src/Operator/Operator.cpp,CANDIDATE,OPERATOR_GHOST_POLICY,Respect coarse/fine ghost-row policy,Respect coarse/fine ghost-row policy
src/Operator/Operator.cpp:102-109,src/Operator/Operator.cpp,NOISE,,Comment-only or formatting cleanup,Comment-only or formatting cleanup
src/Operator/Operator.cpp:116-150,src/Operator/Operator.cpp,CANDIDATE,OPERATOR_GHOST_POLICY,Respect coarse/fine ghost-row policy,Respect coarse/fine ghost-row policy
src/Operator/Operator.cpp:158-164,src/Operator/Operator.cpp,CANDIDATE,OPERATOR_GHOST_POLICY,Respect coarse/fine ghost policy in divide,Respect coarse/fine ghost policy in divide
src/Operator/Operator.cpp:220-228,src/Operator/Operator.cpp,CANDIDATE,OPERATOR_GHOST_POLICY,Respect coarse/fine ghost-row policy,Respect coarse/fine ghost-row policy
src/Operator/Operator.cpp:289-299,src/Operator/Operator.cpp,CANDIDATE,OPERATOR_INTERPOLATION,Implement component-aware AMR interpolation,Implement component-aware AMR interpolation
src/Operator/Operator.cpp:349-354,src/Operator/Operator.cpp,CANDIDATE,OPERATOR_INTERPOLATION,Complete component-aware AMR interpolation,Complete component-aware AMR interpolation
src/Operator/Operator.cpp:368-380#1,src/Operator/Operator.cpp,CANDIDATE,DIAGNOSTIC_INSTRUMENTATION,Emit opt-in interpolation diagnostics,Emit opt-in interpolation diagnostics
src/Operator/Operator.cpp:368-380#2,src/Operator/Operator.cpp,CANDIDATE,OPERATOR_GHOST_SANITIZE,Optionally zero coarse correction ghosts before interpolation,Optionally zero coarse correction ghosts before interpolation
src/Operator/Operator.cpp:386-392,src/Operator/Operator.cpp,CANDIDATE,ELIXIR_LIFETIME,Keep per-box interpolation temporary alive,Keep per-box interpolation temporary alive
src/Operator/Operator.cpp:394-405,src/Operator/Operator.cpp,CANDIDATE,OPERATOR_INTERPOLATION,Use portable interpolation device loop,Use portable interpolation device loop
src/Operator/Operator.cpp:422-436,src/Operator/Operator.cpp,ONEOFF,,Quadratic AMR interpolation feature,Quadratic AMR interpolation feature
src/Operator/Operator.cpp:447-452,src/Operator/Operator.cpp,NOISE,,Comment-only or formatting cleanup,Comment-only or formatting cleanup
src/Operator/Operator.cpp:460-467,src/Operator/Operator.cpp,CANDIDATE,OPERATOR_GHOST_POLICY,Retain coarse/fine residual rows,Retain coarse/fine residual rows
src/Operator/Operator.cpp:548-553,src/Operator/Operator.cpp,CANDIDATE,OPERATOR_GHOST_POLICY,Use portable residual-row loop,Use portable residual-row loop
src/Operator/Operator.cpp:557-563,src/Operator/Operator.cpp,NOISE,,Comment-only or formatting cleanup,Comment-only or formatting cleanup
src/Operator/Operator.cpp:566-577,src/Operator/Operator.cpp,ONEOFF,,Unique compile/interface/behavior change,Unique compile/interface/behavior change
src/Operator/Operator.cpp:639-645,src/Operator/Operator.cpp,ONEOFF,,Residual diagnostic instrumentation,Residual diagnostic instrumentation
src/Operator/Operator.cpp:648-659,src/Operator/Operator.cpp,ONEOFF,,Residual diagnostic instrumentation,Residual diagnostic instrumentation
src/Operator/Spectral/FFT.H:0-0,src/Operator/Spectral/FFT.H,ONEOFF,,Unique compile/interface/behavior change,Unique compile/interface/behavior change
src/Set/Base.H:7-12,src/Set/Base.H,ONEOFF,,Unique compile/interface/behavior change,Unique compile/interface/behavior change
src/Set/Base.H:16-21,src/Set/Base.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate Set base operations host/device,Annotate Set base operations host/device
src/Set/Base.H:23-28,src/Set/Base.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate Set base operations host/device,Annotate Set base operations host/device
src/Set/Base.H:42-63,src/Set/Base.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate Set base operations host/device,Annotate Set base operations host/device
src/Set/Base.H:67-79,src/Set/Base.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate Set base operations host/device,Annotate Set base operations host/device
src/Set/Base.H:81-86,src/Set/Base.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate Set base operations host/device,Annotate Set base operations host/device
src/Set/Base.H:88-93,src/Set/Base.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate Set base operations host/device,Annotate Set base operations host/device
src/Set/Base.H:96-101,src/Set/Base.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate Set base operations host/device,Annotate Set base operations host/device
src/Set/Base.H:104-109,src/Set/Base.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate Set base operations host/device,Annotate Set base operations host/device
src/Set/Base.H:114-120,src/Set/Base.H,CANDIDATE,SET_DEVICE_GARBAGE,Provide host/device Garbage reference,Provide host/device Garbage reference
src/Set/Base.H:134-143,src/Set/Base.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate Set Position host/device,Annotate Set Position host/device
src/Set/Base.H:188-193,src/Set/Base.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate Set Position host/device,Annotate Set Position host/device
src/Set/Matrix3.H:25-31,src/Set/Matrix3.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix3.H:39-50,src/Set/Matrix3.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Diagonal.H:34-39,src/Set/Matrix4_Diagonal.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Isotropic.H:48-53,src/Set/Matrix4_Isotropic.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Major.H:19-24,src/Set/Matrix4_Major.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Major.H:35-43,src/Set/Matrix4_Major.H,CANDIDATE,SET_DEVICE_GARBAGE,Use host/device Garbage accessor,Use host/device Garbage accessor
src/Set/Matrix4_Major.H:54-93,src/Set/Matrix4_Major.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Major.H:132-137,src/Set/Matrix4_Major.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Major.H:148-165,src/Set/Matrix4_Major.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Major.H:175-186,src/Set/Matrix4_Major.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Major.H:242-247,src/Set/Matrix4_Major.H,ONEOFF,,Remove obsolete friend operator declarations,Remove obsolete friend operator declarations
src/Set/Matrix4_Major.H:251-256,src/Set/Matrix4_Major.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Major.H:260-265,src/Set/Matrix4_Major.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Major.H:271-276,src/Set/Matrix4_Major.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Major.H:323-332,src/Set/Matrix4_Major.H,CANDIDATE,SET_DEVICE_GARBAGE,Use host/device Garbage accessor,Use host/device Garbage accessor
src/Set/Matrix4_Major.H:379-387,src/Set/Matrix4_Major.H,CANDIDATE,SET_DEVICE_GARBAGE,Use host/device Garbage accessor,Use host/device Garbage accessor
src/Set/Matrix4_Major.H:437-442,src/Set/Matrix4_Major.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Major.H:453-470,src/Set/Matrix4_Major.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_Major.H:472-483,src/Set/Matrix4_Major.H,ONEOFF,,Remove obsolete friend operator declarations,Remove obsolete friend operator declarations
src/Set/Matrix4_Major.H:531-550,src/Set/Matrix4_Major.H,CANDIDATE,MATRIX4_UNROLL,Hand-unroll tensor contraction for device,Hand-unroll tensor contraction for device
src/Set/Matrix4_MajorMinor.H:25-30,src/Set/Matrix4_MajorMinor.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_MajorMinor.H:35-43,src/Set/Matrix4_MajorMinor.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_MajorMinor.H:48-54,src/Set/Matrix4_MajorMinor.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_MajorMinor.H:116-127,src/Set/Matrix4_MajorMinor.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_MajorMinor.H:152-157,src/Set/Matrix4_MajorMinor.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_MajorMinor.H:161-166,src/Set/Matrix4_MajorMinor.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_MajorMinor.H:233-246,src/Set/Matrix4_MajorMinor.H,ONEOFF,,Remove obsolete friend operator declarations,Remove obsolete friend operator declarations
src/Set/Matrix4_MajorMinor.H:325-330,src/Set/Matrix4_MajorMinor.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_MajorMinor.H:371-379,src/Set/Matrix4_MajorMinor.H,CANDIDATE,SET_DEVICE_GARBAGE,Use host/device Garbage accessor,Use host/device Garbage accessor
src/Set/Matrix4_MajorMinor.H:420-426,src/Set/Matrix4_MajorMinor.H,CANDIDATE,SET_DEVICE_GARBAGE,Use host/device Garbage accessor,Use host/device Garbage accessor
src/Set/Matrix4_MajorMinor.H:509-520,src/Set/Matrix4_MajorMinor.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_MajorMinor.H:545-550,src/Set/Matrix4_MajorMinor.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_MajorMinor.H:554-559,src/Set/Matrix4_MajorMinor.H,CANDIDATE,SET_HOST_DEVICE_ANNOTATION,Annotate matrix operations host/device,Annotate matrix operations host/device
src/Set/Matrix4_MajorMinor.H:624-637,src/Set/Matrix4_MajorMinor.H,ONEOFF,,Remove obsolete friend operator declarations,Remove obsolete friend operator declarations
src/Set/Set.H:206-211,src/Set/Set.H,CANDIDATE,SET_FIELD_DEVICE_COPY,Copy field data with device-safe iteration,Copy field data with device-safe iteration
src/Solver/Nonlocal/Newton.H:1-16,src/Solver/Nonlocal/Newton.H,ONEOFF,,Newton GPU include setup,Newton GPU include setup
src/Solver/Nonlocal/Newton.H:31-43,src/Solver/Nonlocal/Newton.H,CANDIDATE,NEWTON_CONSERVATIVE_SOLVE,Propagate conservative face-flux policy,Propagate conservative face-flux policy
src/Solver/Nonlocal/Newton.H:48-54,src/Solver/Nonlocal/Newton.H,CANDIDATE,NEWTON_CONSERVATIVE_SOLVE,Propagate conservative face-flux policy,Propagate conservative face-flux policy
src/Solver/Nonlocal/Newton.H:60-67,src/Solver/Nonlocal/Newton.H,CANDIDATE,DEVICE_SAFE_VECTOR,Copy Newton geometry into safe vector,Copy Newton geometry into safe vector
src/Solver/Nonlocal/Newton.H:73-82,src/Solver/Nonlocal/Newton.H,CANDIDATE,NEWTON_LOOP_DISPATCH,Select GPU/CPU Newton loop,Select GPU/CPU Newton loop
