path,disposition,pattern_ids
docs/agent_plans/20260620-gpu-phase3-regime-scaling/results/002-RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase3-regime-scaling/results/003-RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase3-regime-scaling/results/RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase3-regime-scaling/tasks/001-3d-inputs.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase3-regime-scaling/tasks/002-nova-3d-scripts.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase3-regime-scaling/tasks/003-budget-and-harness.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/PLAN.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/results/001-RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/results/003-RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/results/004-RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/results/005-RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/results/006-RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/results/RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/tasks/001-phase4-1-cpu-regression.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/tasks/002-phase4-r4-dispatch.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/tasks/003-phase4-4-encapsulation-convention.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/tasks/004-phase5-1-correctness-ci.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/tasks/005-phase5-2-perf-tracking.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260621-gpu-phase4-5/tasks/006-phase5-3-4-docs-dod.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260622-analysis-suite-backfill/PLAN.md,evidence-only,
docs/agent_plans/20260622-analysis-suite-backfill/results/001-RESULT.md,evidence-only,
docs/agent_plans/20260622-analysis-suite-backfill/results/002-RESULT.md,evidence-only,
docs/agent_plans/20260622-analysis-suite-backfill/results/RESULT.md,evidence-only,
docs/agent_plans/20260622-analysis-suite-backfill/tasks/001-analysis-suite-rewrite.md,evidence-only,
docs/agent_plans/20260622-analysis-suite-backfill/tasks/002-results-bundles.md,evidence-only,
docs/agent_plans/20260625-gpu-tests/PLAN.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260625-gpu-tests/results/RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260705-meta-workflow-install/PLAN.md,evidence-only,
docs/agent_plans/20260705-meta-workflow-install/results/RESULT.md,evidence-only,
docs/agent_plans/20260706-efficiency-campaign/PLAN.md,evidence-only,
docs/agent_plans/20260706-efficiency-campaign/results/A100_AB_HANDOFF.md,evidence-only,
docs/agent_plans/20260706-efficiency-campaign/results/RESULT.md,evidence-only,
docs/agent_plans/20260707-a100-ab-c1/PLAN.md,evidence-only,
docs/agent_plans/20260707-a100-ab-c1/results/RESULT.md,evidence-only,
docs/agent_plans/20260709-elastic-void-robustness/NOTES.md,mapped,GPU-021;GPU-022;GPU-023;GPU-025
docs/agent_plans/20260709-elastic-void-robustness/PLAN.md,mapped,GPU-021;GPU-022;GPU-023;GPU-025
docs/agent_plans/20260709-elastic-void-robustness/results/FULL_SUITE_REVIEW_20260713.md,mapped,GPU-021;GPU-022;GPU-023;GPU-025
docs/agent_plans/20260709-elastic-void-robustness/results/REGRESSION_RECOVERY_HANDOFF.md,mapped,GPU-021;GPU-022;GPU-023;GPU-025
docs/agent_plans/20260709-elastic-void-robustness/results/RESULT.md,mapped,GPU-021;GPU-022;GPU-023;GPU-025
docs/agent_plans/20260709-elastic-void-robustness/results/REVIEW.md,mapped,GPU-021;GPU-022;GPU-023;GPU-025
docs/agent_plans/20260709-fapply-kernel-surgery/NOTES.md,mapped,GPU-015;GPU-018;GPU-019;GPU-020
docs/agent_plans/20260709-fapply-kernel-surgery/PLAN.md,mapped,GPU-015;GPU-018;GPU-019;GPU-020
docs/agent_plans/20260709-fapply-kernel-surgery/results/RESULT.md,mapped,GPU-015;GPU-018;GPU-019;GPU-020
docs/agent_plans/20260709-fsmooth-launch-fusion/NOTES.md,mapped,GPU-015
docs/agent_plans/20260709-fsmooth-launch-fusion/PLAN.md,mapped,GPU-015
docs/agent_plans/20260709-fsmooth-launch-fusion/results/RESULT.md,mapped,GPU-015
docs/agent_plans/20260709-traction-multiplier/PLAN.md,mapped,
docs/agent_plans/20260709-traction-multiplier/results/RESULT.md,mapped,
docs/agent_plans/20260713-elastic-regression-recovery/NOTES.md,mapped,GPU-021;GPU-022;GPU-023;GPU-025
docs/agent_plans/20260713-elastic-regression-recovery/PLAN.md,mapped,GPU-021;GPU-022;GPU-023;GPU-025
docs/agent_plans/20260713-elastic-regression-recovery/results/HANDOFF.md,mapped,GPU-021;GPU-022;GPU-023;GPU-025
docs/agent_plans/20260713-elastic-regression-recovery/results/RESIDUAL_DIAGNOSTICS_FINAL.md,mapped,GPU-021;GPU-022;GPU-023;GPU-025
docs/agent_plans/20260713-elastic-regression-recovery/results/RESULT.md,mapped,GPU-021;GPU-022;GPU-023;GPU-025
docs/agent_plans/20260713-elastic-regression-recovery/results/REVIEW.md,mapped,GPU-021;GPU-022;GPU-023;GPU-025
docs/agent_plans/20260713-fapply-322b-a100/NOTES.md,mapped,GPU-015;GPU-018;GPU-019;GPU-020
docs/agent_plans/20260713-fapply-322b-a100/PLAN.md,mapped,GPU-015;GPU-018;GPU-019;GPU-020
docs/agent_plans/20260713-fapply-322b-a100/results/RESULT.md,mapped,GPU-015;GPU-018;GPU-019;GPU-020
docs/agent_plans/20260713-launch-bounds-sweep/PLAN.md,evidence-only,
docs/agent_plans/20260718-matrix4-device-annotation/PLAN.md,mapped,GPU-017
docs/agent_plans/20260718-matrix4-device-annotation/results/RESULT.md,mapped,GPU-017
docs/agent_plans/20260718-rodtube-gate-recalibration/NOTES.md,mapped,
docs/agent_plans/20260718-rodtube-gate-recalibration/PLAN.md,mapped,
docs/agent_plans/20260718-rodtube-gate-recalibration/results/RESULT.md,mapped,
docs/archive/CURRENT.md,stale-dropped,
docs/archive/GPU_AUDIT_20260702.md,evidence-only,
docs/archive/GPU_ROADMAP_V3.md,stale-dropped,
docs/archive/GPU_STRUCTURAL_PLAN_20260703.md,evidence-only,
docs/archive/READ_FIRST_NEXT_STEP.md,stale-dropped,
docs/archive/ROADMAP.md,stale-dropped,
docs/archive/SUCCESS_BOOK.md,stale-dropped,
docs/gpu_device_capture_conventions.md,mapped,GPU-018;GPU-019;GPU-022;GPU-025
docs/gpu_elastic_device_port_plan.md,evidence-only,
docs/gpu_safe_ic_bc_matrix.md,mapped,GPU-010;GPU-019;GPU-022
docs/llm/BUG_PATTERNS.md,mapped,GPU-015;GPU-018;GPU-019;GPU-022;GPU-025
docs/llm/CONVENTIONS.md,mapped,GPU-015;GPU-018;GPU-019;GPU-022;GPU-025
docs/llm/INDEX.md,evidence-only,
docs/llm/PLAN.md,evidence-only,
docs/llm/TASK_TEMPLATE.md,evidence-only,
docs/llm/VERSIONS.md,evidence-only,
docs/llm/changelog/2026-06-20-session-handoff.md,evidence-only,
docs/llm/changelog/2026-06-26-3d-elastic-gpu-fix.md,evidence-only,
docs/llm/changelog/2026-06-26-gpu-test-suite-fixes.md,evidence-only,
docs/llm/changelog/2026-06-30-chamber-coupling-review.md,evidence-only,
docs/llm/changelog/2026-07-02-gpu-audit.md,evidence-only,
docs/llm/changelog/2026-07-04-mlmg-resync-coeffs.md,evidence-only,
docs/llm/changelog/2026-07-06-efficiency-campaign.md,evidence-only,
docs/llm/changelog/2026-07-06-meta-workflow-install.md,evidence-only,
docs/llm/changelog/2026-07-18-rodtube-gate-recalibration.md,mapped,
docs/llm/perf/2026-06-20-gpu-port-report.md,evidence-only,
docs/paper/paper.md,evidence-only,
remediation.md,evidence-only,
tasks/001-gpu-test-framework.md,evidence-only,
tasks/002-smoke-tests.md,evidence-only,
tasks/003-perf-2d-tests.md,evidence-only,
tasks/004-perf-3d-test.md,evidence-only,
tasks/005-correctness-elastic.md,evidence-only,
tasks/006-restart-roundtrip.md,evidence-only,
tasks/007-multibox-elastic-stress.md,evidence-only,
tasks/008-amr-correctness.md,evidence-only,
benchmark/GPU_ROADMAP_V2.md,stale-dropped,
benchmark/PHASE1_ELASTIC_DISPOSITION.md,evidence-only,
benchmark/PHASE5_BRANCH_DONE.md,evidence-only,
benchmark/PHASE_C1_cpu_golden_compare.md,evidence-only,
benchmark/PHASE_C1_fapply_occupancy.md,mapped,GPU-015;GPU-018;GPU-019;GPU-020
benchmark/PHASE_C1_nova_ab.md,evidence-only,
docs/agent_plans/20260713-launch-bounds-sweep/results/ptxas_table.md,evidence-only,
