hunk_id,file,classification,num_tag
src/GPU/IntegratorPolicy.mk:0-0,src/GPU/IntegratorPolicy.mk,GPU-025,no
src/IC/BMP.H:64-69,src/IC/BMP.H,GPU-006,no
src/IC/BMP.H:73-91,src/IC/BMP.H,GPU-006,no
src/IC/Constant.H:7-12,src/IC/Constant.H,ONEOFF,no
src/IC/Constant.H:42-50,src/IC/Constant.H,GPU-006,no
src/IC/Constant.H:56-64,src/IC/Constant.H,GPU-006,no
src/IC/Expression.H:34-39,src/IC/Expression.H,ONEOFF,no
src/IC/Expression.H:44-55,src/IC/Expression.H,ONEOFF,no
src/IC/Expression.H:70-100,src/IC/Expression.H,GPU-006,no
src/IC/Expression.H:105-110,src/IC/Expression.H,GPU-010,no
src/IC/Expression.H:118-124,src/IC/Expression.H,GPU-010,no
src/IC/Expression.H:134-140,src/IC/Expression.H,GPU-010,no
src/IC/Laminate.H:5-10,src/IC/Laminate.H,ONEOFF,no
src/IC/Laminate.H:26-31,src/IC/Laminate.H,GPU-010,no
src/IC/Laminate.H:33-39,src/IC/Laminate.H,GPU-010,no
src/IC/PNG.H:4-9,src/IC/PNG.H,ONEOFF,no
src/IC/PNG.H:48-53,src/IC/PNG.H,GPU-010,no
src/IC/PNG.H:69-75,src/IC/PNG.H,GPU-010,no
src/IC/PSRead.H:6-11,src/IC/PSRead.H,ONEOFF,no
src/IC/PSRead.H:42-47,src/IC/PSRead.H,GPU-010,no
src/IC/PSRead.H:54-60,src/IC/PSRead.H,GPU-010,no
src/IC/PSRead.H:128-134,src/IC/PSRead.H,NOISE,no
src/IC/PointList.H:0-0,src/IC/PointList.H,FEATURE,no
src/IC/StarAftGrain.H:0-0,src/IC/StarAftGrain.H,FEATURE,no
src/IC/Trig.H:9-14,src/IC/Trig.H,ONEOFF,no
src/IC/Trig.H:55-60,src/IC/Trig.H,GPU-010,no
src/IC/Trig.H:69-75,src/IC/Trig.H,GPU-010,no
src/IC/Trig.H:109-114,src/IC/Trig.H,GPU-010,no
src/IC/Trig.H:123-129,src/IC/Trig.H,GPU-010,no
src/IO/ParmParse.H:692-698,src/IO/ParmParse.H,GPU-003,no
src/IO/ParmParse.H:705-718,src/IO/ParmParse.H,GPU-003,no
src/IO/ParmParse.H:1219-1229,src/IO/ParmParse.H,GPU-003,no
src/IO/ParmParse.H:1238-1245,src/IO/ParmParse.H,GPU-003,no
src/IO/ParmParse.H:1263-1274,src/IO/ParmParse.H,GPU-003,no
src/Integrator/AllenCahn.H:37-42,src/Integrator/AllenCahn.H,GPU-025,no
src/Integrator/AllenCahn.H:106-113,src/Integrator/AllenCahn.H,GPU-025,no
src/Integrator/Base/Mechanics.H:37-44,src/Integrator/Base/Mechanics.H,NOISE,no
src/Integrator/Base/Mechanics.H:49-60,src/Integrator/Base/Mechanics.H,GPU-025,no
src/Integrator/Base/Mechanics.H:105-111,src/Integrator/Base/Mechanics.H,NOISE,no
src/Integrator/Base/Mechanics.H:124-134,src/Integrator/Base/Mechanics.H,NOISE,no
src/Integrator/Base/Mechanics.H:145-151,src/Integrator/Base/Mechanics.H,GPU-005,no
src/Integrator/Base/Mechanics.H:198-218#1,src/Integrator/Base/Mechanics.H,GPU-008,no
src/Integrator/Base/Mechanics.H:198-218#2,src/Integrator/Base/Mechanics.H,FEATURE,yes
src/Integrator/Base/Mechanics.H:229-241,src/Integrator/Base/Mechanics.H,GPU-007,no
src/Integrator/Base/Mechanics.H:252-258,src/Integrator/Base/Mechanics.H,GPU-007,no
src/Integrator/Base/Mechanics.H:264-269,src/Integrator/Base/Mechanics.H,GPU-006,no
src/Integrator/Base/Mechanics.H:279-288,src/Integrator/Base/Mechanics.H,GPU-007,no
src/Integrator/Base/Mechanics.H:296-302,src/Integrator/Base/Mechanics.H,NOISE,no
src/Integrator/Base/Mechanics.H:308-319,src/Integrator/Base/Mechanics.H,GPU-007,no
src/Integrator/Base/Mechanics.H:330-336,src/Integrator/Base/Mechanics.H,NOISE,no
src/Integrator/Base/Mechanics.H:348-356,src/Integrator/Base/Mechanics.H,GPU-007,no
src/Integrator/Base/Mechanics.H:360-369,src/Integrator/Base/Mechanics.H,GPU-007,no
src/Integrator/Base/Mechanics.H:383-389,src/Integrator/Base/Mechanics.H,NOISE,no
src/Integrator/Base/Mechanics.H:418-449,src/Integrator/Base/Mechanics.H,GPU-013,no
src/Integrator/Base/Mechanics.H:452-457,src/Integrator/Base/Mechanics.H,GPU-006,no
src/Integrator/BaseField.H:34-39,src/Integrator/BaseField.H,FEATURE,no
src/Integrator/BaseField.H:303-308,src/Integrator/BaseField.H,FEATURE,no
src/Integrator/CahnHilliard.cpp:1-14,src/Integrator/CahnHilliard.cpp,GPU-016,no
src/Integrator/CahnHilliard.cpp:52-58,src/Integrator/CahnHilliard.cpp,FEATURE,yes
src/Integrator/CahnHilliard.cpp:94-115,src/Integrator/CahnHilliard.cpp,GPU-016,no
src/Integrator/CahnHilliard.cpp:130-143,src/Integrator/CahnHilliard.cpp,GPU-016,no
src/Integrator/CahnHilliard.cpp:147-184,src/Integrator/CahnHilliard.cpp,GPU-016,no
src/Integrator/CahnHilliard.cpp:203-210,src/Integrator/CahnHilliard.cpp,FEATURE,yes
src/Integrator/Flame.H:9-17,src/Integrator/Flame.H,FEATURE,no
src/Integrator/Flame.H:45-51,src/Integrator/Flame.H,GPU-005,no
src/Integrator/Flame.H:62-67,src/Integrator/Flame.H,FEATURE,no
src/Integrator/Flame.H:72-77,src/Integrator/Flame.H,FEATURE,no
src/Integrator/Flame.H:86-106#1,src/Integrator/Flame.H,GPU-005,no
src/Integrator/Flame.H:86-106#2,src/Integrator/Flame.H,FEATURE,no
src/Integrator/Flame.H:113-144#1,src/Integrator/Flame.H,GPU-005,no
src/Integrator/Flame.H:113-144#2,src/Integrator/Flame.H,FEATURE,no
src/Integrator/Flame.cpp:1-9,src/Integrator/Flame.cpp,FEATURE,no
src/Integrator/Flame.cpp:14-25,src/Integrator/Flame.cpp,FEATURE,no
src/Integrator/Flame.cpp:37-43,src/Integrator/Flame.cpp,NOISE,no
src/Integrator/Flame.cpp:52-59,src/Integrator/Flame.cpp,NOISE,no
src/Integrator/Flame.cpp:62-85,src/Integrator/Flame.cpp,NOISE,no
src/Integrator/Flame.cpp:92-145,src/Integrator/Flame.cpp,FEATURE,yes
src/Integrator/Flame.cpp:158-180,src/Integrator/Flame.cpp,FEATURE,no
src/Integrator/Flame.cpp:191-211,src/Integrator/Flame.cpp,FEATURE,no
src/Integrator/Flame.cpp:213-257,src/Integrator/Flame.cpp,FEATURE,yes
src/Integrator/Flame.cpp:273-280,src/Integrator/Flame.cpp,FEATURE,yes
src/Integrator/Flame.cpp:295-303,src/Integrator/Flame.cpp,FEATURE,no
src/Integrator/Flame.cpp:306-383,src/Integrator/Flame.cpp,FEATURE,yes
src/Integrator/Flame.cpp:392-398,src/Integrator/Flame.cpp,NOISE,no
src/Integrator/Flame.cpp:407-418,src/Integrator/Flame.cpp,GPU-013,no
src/Integrator/Flame.cpp:420-447,src/Integrator/Flame.cpp,FEATURE,yes
src/Integrator/Flame.cpp:451-456,src/Integrator/Flame.cpp,GPU-006,no
src/Integrator/Flame.cpp:465-482,src/Integrator/Flame.cpp,FEATURE,no
src/Integrator/Flame.cpp:484-534#1,src/Integrator/Flame.cpp,GPU-012,no
src/Integrator/Flame.cpp:484-534#2,src/Integrator/Flame.cpp,FEATURE,yes
src/Integrator/Flame.cpp:539-554,src/Integrator/Flame.cpp,GPU-012,no
src/Integrator/Flame.cpp:569-579,src/Integrator/Flame.cpp,GPU-006,no
src/Integrator/Flame.cpp:582-592,src/Integrator/Flame.cpp,GPU-012,no
src/Integrator/Flame.cpp:595-693#1,src/Integrator/Flame.cpp,GPU-007,no
src/Integrator/Flame.cpp:595-693#2,src/Integrator/Flame.cpp,GPU-006,no
src/Integrator/Flame.cpp:595-693#3,src/Integrator/Flame.cpp,ONEOFF,no
src/Integrator/Flame.cpp:731-770,src/Integrator/Flame.cpp,GPU-013,no
src/Integrator/HeatConduction.H:23-31,src/Integrator/HeatConduction.H,GPU-016,no
src/Integrator/HeatConduction.H:39-44,src/Integrator/HeatConduction.H,GPU-016,no
src/Integrator/HeatConduction.H:180-223,src/Integrator/HeatConduction.H,GPU-016,no
src/Integrator/Hydro.cpp:188-196,src/Integrator/Hydro.cpp,FEATURE,no
src/Integrator/Integrator.H:256-262,src/Integrator/Integrator.H,GPU-005,no
src/Integrator/Integrator.H:267-273,src/Integrator/Integrator.H,GPU-005,no
src/Integrator/Integrator.H:465-470,src/Integrator/Integrator.H,FEATURE,no
src/Integrator/Integrator.cpp:8-13,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:37-42,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:258-268,src/Integrator/Integrator.cpp,NOISE,no
src/Integrator/Integrator.cpp:309-319,src/Integrator/Integrator.cpp,NOISE,no
src/Integrator/Integrator.cpp:328-363,src/Integrator/Integrator.cpp,NOISE,no
src/Integrator/Integrator.cpp:601-606,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:631-641,src/Integrator/Integrator.cpp,NOISE,no
src/Integrator/Integrator.cpp:647-652,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:660-683,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:693-699,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:702-715,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:761-777,src/Integrator/Integrator.cpp,NOISE,no
src/Integrator/Integrator.cpp:812-827,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:940-946,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:977-983,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:1012-1038,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:1048-1055,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:1111-1117,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Integrator.cpp:1165-1171,src/Integrator/Integrator.cpp,FEATURE,no
src/Integrator/Mechanics.H:84-89,src/Integrator/Mechanics.H,GPU-025,no
src/Integrator/Mechanics.H:144-150,src/Integrator/Mechanics.H,GPU-025,no
src/Integrator/Mechanics.H:157-163,src/Integrator/Mechanics.H,GPU-025,no
src/Integrator/PFC.cpp:10-15,src/Integrator/PFC.cpp,ONEOFF,no
src/Integrator/PFC.cpp:46-62,src/Integrator/PFC.cpp,GPU-016,no
src/Integrator/PFC.cpp:76-89,src/Integrator/PFC.cpp,GPU-016,no
src/Integrator/PFC.cpp:95-122,src/Integrator/PFC.cpp,GPU-016,no
src/Model/Chamber/Ballistic.H:0-0,src/Model/Chamber/Ballistic.H,FEATURE,no
src/Model/Chamber/Old_Ballistic.H:0-0,src/Model/Chamber/Old_Ballistic.H,FEATURE,no
src/Model/Gas/EOS/CPG.H:7-44,src/Model/Gas/EOS/CPG.H,GPU-002,no
src/Model/Gas/EOS/CPG.H:47-49,src/Model/Gas/EOS/CPG.H,NOISE,no
src/Model/Gas/EOS/CPG.cpp:1-40,src/Model/Gas/EOS/CPG.cpp,GPU-002,no
src/Model/Gas/EOS/EOS.H:6-42,src/Model/Gas/EOS/EOS.H,GPU-002,no
src/Model/Gas/Gas.H:19-34,src/Model/Gas/Gas.H,GPU-002,no
src/Model/Gas/Gas.H:37-56,src/Model/Gas/Gas.H,GPU-002,no
src/Model/Gas/Gas.H:112-118,src/Model/Gas/Gas.H,FEATURE,yes
src/Model/Gas/Gas.H:120-126,src/Model/Gas/Gas.H,GPU-002,no
src/Model/Gas/Gas.cpp:17-79,src/Model/Gas/Gas.cpp,GPU-002,no
src/Model/Gas/Thermo/CpConstant.H:11-20,src/Model/Gas/Thermo/CpConstant.H,GPU-002,no
src/Model/Gas/Thermo/CpConstant.H:25-40,src/Model/Gas/Thermo/CpConstant.H,GPU-002,no
src/Model/Gas/Thermo/CpConstant.H:51-69,src/Model/Gas/Thermo/CpConstant.H,GPU-002,no
src/Model/Gas/Thermo/Thermo.H:5-30,src/Model/Gas/Thermo/Thermo.H,GPU-002,no
src/Model/Gas/Transport/Mixture_Averaged.H:4-9,src/Model/Gas/Transport/Mixture_Averaged.H,GPU-002,no
src/Model/Gas/Transport/Mixture_Averaged.H:36-66,src/Model/Gas/Transport/Mixture_Averaged.H,GPU-002,no
src/Model/Gas/Transport/Mixture_Averaged.H:99-111,src/Model/Gas/Transport/Mixture_Averaged.H,GPU-002,no
src/Model/Gas/Transport/Mixture_Averaged.H:154-160,src/Model/Gas/Transport/Mixture_Averaged.H,GPU-002,no
src/Model/Gas/Transport/Mixture_Averaged.H:204-210,src/Model/Gas/Transport/Mixture_Averaged.H,GPU-002,no
src/Model/Gas/Transport/Transport.H:5-32,src/Model/Gas/Transport/Transport.H,GPU-002,no
src/Model/Propellant/Constant.H:0-0,src/Model/Propellant/Constant.H,GPU-001,no
src/Model/Propellant/FullFeedback.H:30-36,src/Model/Propellant/FullFeedback.H,GPU-001,no
src/Model/Propellant/FullFeedback.H:47-87,src/Model/Propellant/FullFeedback.H,GPU-001,no
src/Model/Propellant/Homogenize.H:1-5,src/Model/Propellant/Homogenize.H,NOISE,no
src/Model/Propellant/Homogenize.H:8-14,src/Model/Propellant/Homogenize.H,ONEOFF,no
src/Model/Propellant/Homogenize.H:20-146,src/Model/Propellant/Homogenize.H,GPU-001,no
src/Model/Propellant/Homogenize.H:149-153,src/Model/Propellant/Homogenize.H,NOISE,no
src/Model/Propellant/PowerLaw.H:31-36,src/Model/Propellant/PowerLaw.H,FEATURE,no
src/Model/Propellant/PowerLaw.H:45-61,src/Model/Propellant/PowerLaw.H,GPU-024,no
src/Model/Propellant/Propellant.H:35-40,src/Model/Propellant/Propellant.H,FEATURE,no
src/Model/Propellant/Propellant.H:49-56,src/Model/Propellant/Propellant.H,GPU-024,no
src/Model/Propellant/Propellant.H:62-69,src/Model/Propellant/Propellant.H,GPU-024,no
src/Model/Propellant/Propellant.H:75-82,src/Model/Propellant/Propellant.H,GPU-024,no
src/Model/Propellant/Propellant.H:88-95,src/Model/Propellant/Propellant.H,GPU-024,no
src/Model/Propellant/Propellant.H:101-108,src/Model/Propellant/Propellant.H,GPU-024,no
src/Model/Solid/ExtClassOperators.H:1-3,src/Model/Solid/ExtClassOperators.H,GPU-001,no
src/Model/Solid/ExtClassOperators.H:9-14,src/Model/Solid/ExtClassOperators.H,GPU-001,no
src/Model/Solid/ExtClassOperators.H:20-25,src/Model/Solid/ExtClassOperators.H,GPU-001,no
src/Model/Solid/ExtClassOperators.H:31-36,src/Model/Solid/ExtClassOperators.H,GPU-001,no
src/Model/Solid/Finite/NeoHookean.H:14-34#1,src/Model/Solid/Finite/NeoHookean.H,GPU-001,no
src/Model/Solid/Finite/NeoHookean.H:14-34#2,src/Model/Solid/Finite/NeoHookean.H,ONEOFF,yes
src/Model/Solid/Finite/NeoHookean.H:36-90#1,src/Model/Solid/Finite/NeoHookean.H,GPU-001,no
src/Model/Solid/Finite/NeoHookean.H:36-90#2,src/Model/Solid/Finite/NeoHookean.H,GPU-017,no
src/Model/Solid/Finite/NeoHookean.H:36-90#3,src/Model/Solid/Finite/NeoHookean.H,ONEOFF,yes
src/Model/Solid/Finite/NeoHookean.H:105-125,src/Model/Solid/Finite/NeoHookean.H,GPU-001,no
src/Model/Solid/Finite/NeoHookeanPredeformed.H:14-43,src/Model/Solid/Finite/NeoHookeanPredeformed.H,GPU-001,no
src/Model/Solid/InClassOperators.H:1-4,src/Model/Solid/InClassOperators.H,GPU-001,no
src/Model/Solid/InClassOperators.H:8-13,src/Model/Solid/InClassOperators.H,GPU-001,no
src/Model/Solid/InClassOperators.H:17-23,src/Model/Solid/InClassOperators.H,GPU-001,no
src/Model/Solid/Solid.H:37-58,src/Model/Solid/Solid.H,GPU-001,no
src/Model/Solid/Solid.H:65-73,src/Model/Solid/Solid.H,GPU-001,no
src/Numeric/Function.H:1-6,src/Numeric/Function.H,ONEOFF,no
src/Numeric/Function.H:13-23,src/Numeric/Function.H,GPU-001,no
src/Numeric/Function.H:30-44,src/Numeric/Function.H,GPU-001,no
src/Numeric/Interpolator/NodeBilinear.H:2-8,src/Numeric/Interpolator/NodeBilinear.H,NOISE,no
src/Numeric/Interpolator/NodeBilinear.H:13-18,src/Numeric/Interpolator/NodeBilinear.H,GPU-009,no
src/Numeric/Interpolator/NodeBilinear.H:39-56,src/Numeric/Interpolator/NodeBilinear.H,GPU-009,no
src/Numeric/Stencil.H:19-26,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:40-45,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:63-80,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:83-107#1,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:83-107#2,src/Numeric/Stencil.H,ONEOFF,no
src/Numeric/Stencil.H:111-121,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:124-148,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:152-162,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:165-207,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:213-223,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:229-239,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:245-255,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:264-274,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:283-293,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:300-313,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:319-325,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:331-337,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:346-352,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:364-370,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:382-388,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:398-404,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:414-420,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:431-437,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:448-454,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:466-472,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:483-489,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:502-508,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:519-525,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:536-542,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:550-561,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:568-578,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:585-596,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:657-668,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:676-687,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:694-700,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:715-722,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:739-750,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:763-774,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:785-821#1,src/Numeric/Stencil.H,FEATURE,yes
src/Numeric/Stencil.H:785-821#2,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:785-821#3,src/Numeric/Stencil.H,ONEOFF,no
src/Numeric/Stencil.H:855-861,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:875-886,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:899-910,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:931-936,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:965-974,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:986-997,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1038-1050,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1063-1074,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1113-1124,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1156-1165,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1178-1187,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1200-1209,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1216-1225,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1232-1242,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1250-1260,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1267-1283,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1314-1327,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1342-1348,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1385-1395,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1402-1414,src/Numeric/Stencil.H,GPU-021,no
src/Numeric/Stencil.H:1421-1432,src/Numeric/Stencil.H,GPU-021,no
src/Numeric/Stencil.H:1434-1445#1,src/Numeric/Stencil.H,GPU-021,no
src/Numeric/Stencil.H:1434-1445#2,src/Numeric/Stencil.H,GPU-001,no
src/Numeric/Stencil.H:1447-1455,src/Numeric/Stencil.H,GPU-021,no
src/Operator/Elastic.H:55-60,src/Operator/Elastic.H,FEATURE,yes
src/Operator/Elastic.H:88-95,src/Operator/Elastic.H,NOISE,no
src/Operator/Elastic.H:108-115,src/Operator/Elastic.H,ONEOFF,no
src/Operator/Elastic.H:122-127,src/Operator/Elastic.H,FEATURE,yes
src/Operator/Elastic.H:129-167#1,src/Operator/Elastic.H,GPU-005,no
src/Operator/Elastic.H:129-167#2,src/Operator/Elastic.H,GPU-006,no
src/Operator/Elastic.cpp:1-9,src/Operator/Elastic.cpp,GPU-011,no
src/Operator/Elastic.cpp:45-51,src/Operator/Elastic.cpp,FEATURE,yes
src/Operator/Elastic.cpp:63-83,src/Operator/Elastic.cpp,FEATURE,yes
src/Operator/Elastic.cpp:95-103,src/Operator/Elastic.cpp,FEATURE,yes
src/Operator/Elastic.cpp:107-113,src/Operator/Elastic.cpp,FEATURE,yes
src/Operator/Elastic.cpp:148-154#1,src/Operator/Elastic.cpp,GPU-007,no
src/Operator/Elastic.cpp:148-154#2,src/Operator/Elastic.cpp,GPU-012,no
src/Operator/Elastic.cpp:161-168,src/Operator/Elastic.cpp,GPU-006,no
src/Operator/Elastic.cpp:173-264#1,src/Operator/Elastic.cpp,GPU-004,no
src/Operator/Elastic.cpp:173-264#2,src/Operator/Elastic.cpp,GPU-006,no
src/Operator/Elastic.cpp:173-264#3,src/Operator/Elastic.cpp,GPU-007,no
src/Operator/Elastic.cpp:173-264#4,src/Operator/Elastic.cpp,GPU-012,no
src/Operator/Elastic.cpp:173-264#5,src/Operator/Elastic.cpp,GPU-018,no
src/Operator/Elastic.cpp:173-264#6,src/Operator/Elastic.cpp,GPU-019,no
src/Operator/Elastic.cpp:173-264#7,src/Operator/Elastic.cpp,GPU-020,no
src/Operator/Elastic.cpp:173-264#8,src/Operator/Elastic.cpp,FEATURE,yes
src/Operator/Elastic.cpp:282-294,src/Operator/Elastic.cpp,GPU-012,no
src/Operator/Elastic.cpp:299-315#1,src/Operator/Elastic.cpp,GPU-007,no
src/Operator/Elastic.cpp:299-315#2,src/Operator/Elastic.cpp,GPU-012,no
src/Operator/Elastic.cpp:299-315#3,src/Operator/Elastic.cpp,FEATURE,yes
src/Operator/Elastic.cpp:317-347#1,src/Operator/Elastic.cpp,GPU-006,no
src/Operator/Elastic.cpp:317-347#2,src/Operator/Elastic.cpp,GPU-018,no
src/Operator/Elastic.cpp:352-377#1,src/Operator/Elastic.cpp,GPU-004,no
src/Operator/Elastic.cpp:352-377#2,src/Operator/Elastic.cpp,GPU-012,no
src/Operator/Elastic.cpp:352-377#3,src/Operator/Elastic.cpp,GPU-018,no
src/Operator/Elastic.cpp:352-377#4,src/Operator/Elastic.cpp,FEATURE,yes
src/Operator/Elastic.cpp:417-425,src/Operator/Elastic.cpp,GPU-023,no
src/Operator/Elastic.cpp:432-438,src/Operator/Elastic.cpp,GPU-007,no
src/Operator/Elastic.cpp:449-460,src/Operator/Elastic.cpp,GPU-007,no
src/Operator/Elastic.cpp:494-500,src/Operator/Elastic.cpp,GPU-007,no
src/Operator/Elastic.cpp:505-523,src/Operator/Elastic.cpp,GPU-006,no
src/Operator/Elastic.cpp:561-567,src/Operator/Elastic.cpp,GPU-007,no
src/Operator/Elastic.cpp:576-596,src/Operator/Elastic.cpp,GPU-007,no
src/Operator/Elastic.cpp:623-628,src/Operator/Elastic.cpp,FEATURE,yes
src/Operator/Elastic.cpp:633-642,src/Operator/Elastic.cpp,FEATURE,yes
src/Operator/Elastic.cpp:663-684,src/Operator/Elastic.cpp,FEATURE,yes
src/Operator/Elastic.cpp:722-728,src/Operator/Elastic.cpp,GPU-010,no
src/Operator/Elastic.cpp:730-741,src/Operator/Elastic.cpp,NOISE,no
